test	rc
M0Exit.RootFixRuntimeEnumerationClassifiesNoCopyAsS0	1
M0Exit.RootFixClassifiesActiveOnlyUnusableCopyAsS1	1
M0Exit.RootFixClassifiesRetiredOnlyUnusableCopyAsS1	1
SegmentedArrayInit.EpochFlipRestartsAndRewritesPublishedBlock	1
SegmentedArrayInit.EpochFlipRestartsAndRewritesPublishedBlockParallel	1
SegmentedArrayInit.YoungGcRepairsIncompleteArrayRoot	1
SegmentedArrayInit.YoungGcRepairsIncompleteArrayRootParallel	1
