arm	test	classification	new_name
filler	ForwardingPublicationProduct.ResolveStoreValueAlreadyToStartRejectsNonUsable	authorized-delete	
filler	ForwardingPublicationProduct.ResolveStoreValueAlreadyToStartWithUsableTarget	authorized-delete	
filler	ForwardingPublicationProduct.ResolveStoreValueFollowsForwardedDestination	authorized-delete	
filler	ForwardingPublicationProduct.ResolveStoreValueSafeAddrAfterForwardingTableGone	authorized-delete	
filler	LoadHealDeliveryProduct.CurrentRemsetRemapsLiveRemoteArrayField	authorized-delete	
filler	LoadHealDeliveryProduct.DualCarrierConsumerSurvivesCurrentPageResetUntilRetire	authorized-delete	
filler	LoadHealDeliveryProduct.DualCarrierProducerCapturesOldTopAndLivemap	authorized-delete	
filler	LoadHealDeliveryProduct.FlipPromotedPageRemembersOnlyLiveHolder	authorized-delete	
filler	LoadHealDeliveryProduct.PromotedFieldsHealForwardedOldTarget	authorized-delete	
filler	LoadHealDeliveryProduct.PromotedObjectRemembersYoungTargetOnly	authorized-delete	
filler	RegionAge.MaxYoungAgeBound	PASS	
filler	RegionAge.YoungAgeRoundTrip	PASS	
filler	ValueRootCurrentization.ExportEntryCurrentCompactDestinationKeepsIdentity	authorized-delete	
filler	ValueRootCurrentization.ExternalCurrentDestinationKeepsIdentity	authorized-delete	
filler	ValueRootCurrentization.IncomingCurrentCompactDestinationKeepsIdentity	authorized-delete	
filler	ValueRootCurrentization.InsertionAndLateRekeyShareCurrentAuthority	authorized-delete	
filler	ValueRootCurrentization.MajorConsumerRewritesEveryCarrierBeforeCoverage	authorized-delete	
filler	ValueRootCurrentization.MajorCurrentOldRootSurvivesYoungColorFlip	authorized-delete	
filler	ValueRootCurrentization.MajorExternalCurrentDestinationKeepsIdentity	authorized-delete	
filler	ValueRootCurrentization.MajorIncomingCurrentCompactDestinationKeepsIdentity	authorized-delete	
filler	ValueRootCurrentization.MajorStoredCurrentRootRemapsAfterOldColorFlip	authorized-delete	
filler	ValueRootCurrentization.MinorConsumerRewritesEveryCarrierBeforeCoverage	authorized-delete	
filler	ValueRootCurrentization.MinorCurrentOldRootSurvivesYoungColorFlip	authorized-delete	
filler	ValueRootCurrentization.MinorStoredCurrentRootRemapsAfterOldColorFlip	authorized-delete	
filler	ValueRootCurrentization.NonOverlappingCurrentDestinationKeepsIdentity	authorized-delete	
filler	ZVerify.BeforeRelocationRejectsMissingRememberedField	PASS	
filler	ZVerify.ForwardingTableChecksLiveAccounting	PASS	
testable	FindToPublicState.QueryableMissIsObservable	authorized-delete	
testable	ForwardingLookupWitness.ActiveHitIdentifiesPublisher	authorized-delete	
testable	ForwardingLookupWitness.ActiveMissKeepsCandidateIdentity	authorized-delete	
testable	ForwardingPublicationProduct.CompletedForwardingMissRejectsOriginalAddress	authorized-delete	
testable	ForwardingPublicationProduct.CompletedPageResolvesThroughForwardingTable	authorized-delete	
testable	ForwardingPublicationProduct.ExclusiveCopyPublishesProductReceipt	authorized-delete	
testable	ForwardingPublicationProduct.ForwardUpdateRawRefFailClosedWhenUnresolved	authorized-delete	
testable	ForwardingPublicationProduct.ForwardUpdateRawRefWritesBackMappedTo	authorized-delete	
testable	ForwardingPublicationProduct.MutatorRuntimeEntryReachesCopyAdmission	authorized-delete	
testable	ForwardingPublicationProduct.PartialCompactFirstDestinationKeepsReceipt	authorized-delete	
testable	ForwardingPublicationProduct.PreForwardDerivedOrdinaryMovingBaseProducer	authorized-delete	
testable	ForwardingPublicationProduct.PreForwardDerivedRebasesFromRemappedBaseWithoutLookup	authorized-delete	
testable	ForwardingPublicationProduct.PreForwardDerivedTaggedMovingBaseProducer	authorized-delete	
testable	ForwardingPublicationProduct.PreForwardDerivedTaggedUnresolvedGhostFailsClosed	authorized-delete	
testable	ForwardingPublicationProduct.ResolveStoreValueAlreadyToStartRejectsNonUsable	authorized-delete	
testable	ForwardingPublicationProduct.ResolveStoreValueAlreadyToStartWithUsableTarget	authorized-delete	
testable	LoadHealDeliveryProduct.CurrentRemsetRemapsLiveRemoteArrayField	authorized-delete	
testable	LoadHealDeliveryProduct.DualCarrierConsumerSurvivesCurrentPageResetUntilRetire	authorized-delete	
testable	LoadHealDeliveryProduct.FlipPromotedPageRemembersOnlyLiveHolder	authorized-delete	
testable	LoadHealDeliveryProduct.MajorDispatchRemapsLiveRemoteArrayField	authorized-delete	
testable	LoadHealDeliveryProduct.PromotedFieldsHealForwardedOldTarget	authorized-delete	
testable	LoadHealDeliveryProduct.PromotedObjectRemembersYoungTargetOnly	authorized-delete	
testable	MarkPort203Entries.LegacyParallelCollectionConsumesArrayTails	PASS	
testable	MarkPort203Entries.ParallelInvisibleThenNormalAccountsOnce	PASS	
testable	MarkPort203Entries.ParallelNormalThenInvisibleAccountsOnce	PASS	
testable	MarkPort203Entries.SerialCollectionConsumesArrayTails	PASS	
testable	MarkPort203Entries.SerialCollectionHandlesExactArrayThreshold	PASS	
testable	MarkPort203Entries.SerialCollectionHandlesOnePastArrayThreshold	PASS	
testable	MarkPort203Entries.SerialInvisibleRootIsLiveWithoutFollowingFields	PASS	
testable	MarkPort203Entries.SerialInvisibleThenNormalAccountsOnce	PASS	
testable	MarkPort203Entries.SerialNormalThenInvisibleAccountsOnce	PASS	
testable	MarkPort203Entries.StripedCollectionConsumesArrayTails	PASS	
testable	MarkPort203Entries.StripedInvisibleRootIsLiveWithoutFollowingFields	PASS	
testable	MarkPort203Entries.StripedInvisibleThenNormalAccountsOnce	PASS	
testable	MarkPort203Entries.StripedNormalThenInvisibleAccountsOnce	PASS	
testable	MarkPort203Entries.StructArrayCollectionVisitsBothFields	PASS	
testable	RawRemapYoungProduct.MajorFallbackKeepsOldPendingThenRelocates	renamed-PASS	RawRemapYoungProduct.MajorFallbackKeepsOldRootUntilNextRootScan
testable	RawRemapYoungProduct.MajorFallbackRemapsDerivedPromotedSource	PASS	
testable	RawRemapYoungProduct.MajorKeepsOldPendingThenRelocatesDerivedRoot	renamed-PASS	RawRemapYoungProduct.MajorKeepsOldDerivedRootUntilNextRootScan
testable	RawRemapYoungProduct.MajorKeepsOldPendingThenRelocatesRawRoot	renamed-PASS	RawRemapYoungProduct.MajorKeepsOldRawRootUntilNextRootScan
testable	RawRemapYoungProduct.MajorRemapsHeaderlessRecordField	PASS	
testable	RawRemapYoungProduct.MajorRemapsStackObjectField	PASS	
testable	RawRemapYoungProduct.MajorWatermarkConsumesPromotedYoungSource	PASS	
testable	RawRemapYoungProduct.MajorWatermarkConsumesYoungTable	PASS	
testable	RawRemapYoungProduct.MajorWatermarkRemapsDerivedPromotedSource	PASS	
testable	RawRemapYoungProduct.MajorWatermarkRemapsDerivedYoungSource	PASS	
testable	RegionAge.MaxYoungAgeBound	PASS	
testable	RegionAge.YoungAgeRoundTrip	PASS	
testable	ValueRootCurrentization.ExportEntryCurrentCompactDestinationKeepsIdentity	authorized-delete	
testable	ValueRootCurrentization.ExternalCurrentDestinationKeepsIdentity	authorized-delete	
testable	ValueRootCurrentization.IncomingCurrentCompactDestinationKeepsIdentity	authorized-delete	
testable	ValueRootCurrentization.InsertionAndLateRekeyShareCurrentAuthority	authorized-delete	
testable	ValueRootCurrentization.MajorConsumerRewritesEveryCarrierBeforeCoverage	authorized-delete	
testable	ValueRootCurrentization.MajorCurrentOldRootSurvivesYoungColorFlip	authorized-delete	
testable	ValueRootCurrentization.MajorExternalCurrentDestinationKeepsIdentity	authorized-delete	
testable	ValueRootCurrentization.MajorIncomingCurrentCompactDestinationKeepsIdentity	authorized-delete	
testable	ValueRootCurrentization.MajorStoredCurrentRootRemapsAfterOldColorFlip	authorized-delete	
testable	ValueRootCurrentization.MinorConsumerRewritesEveryCarrierBeforeCoverage	authorized-delete	
testable	ValueRootCurrentization.MinorCurrentOldRootSurvivesYoungColorFlip	authorized-delete	
testable	ValueRootCurrentization.MinorStoredCurrentRootRemapsAfterOldColorFlip	authorized-delete	
testable	ValueRootCurrentization.NonOverlappingCurrentDestinationKeepsIdentity	authorized-delete	
testable	ZVerify.BeforeRelocationRejectsMissingRememberedField	PASS	
testable	ZVerify.ForwardingTableChecksLiveAccounting	PASS	
