test	rc
M0Exit.RootFixRuntimeEnumerationClassifiesNoCopyAsS0	0
M0Exit.RootFixClassifiesActiveOnlyUnusableCopyAsS1	0
M0Exit.RootFixClassifiesRetiredOnlyUnusableCopyAsS1	0
SegmentedArrayInit.EpochFlipRestartsAndRewritesPublishedBlock	1
SegmentedArrayInit.EpochFlipRestartsAndRewritesPublishedBlockParallel	1
SegmentedArrayInit.YoungGcRepairsIncompleteArrayRoot	1
SegmentedArrayInit.YoungGcRepairsIncompleteArrayRootParallel	1
