test	rc
M0Exit.RootFixFailsClosedOnUnmappedForwardedRoot	0
M0Exit.RootFixFailsClosedOnUnusableActiveWitness	0
M0Exit.RootFixFailsClosedOnUnusableRetiredWitness	0
SegmentedArrayInit.EpochFlipRestartsAndRewritesPublishedBlock	1
SegmentedArrayInit.EpochFlipRestartsAndRewritesPublishedBlockParallel	1
SegmentedArrayInit.YoungGcRepairsIncompleteArrayRoot	1
SegmentedArrayInit.YoungGcRepairsIncompleteArrayRootParallel	1
SegmentedArrayInit.YoungGcResidualWatermarkUsesManagedFallback	1
