test	rc
M0Exit.RootFixFailsClosedOnUnmappedForwardedRoot	1
M0Exit.RootFixFailsClosedOnUnusableActiveWitness	1
M0Exit.RootFixFailsClosedOnUnusableRetiredWitness	1
SegmentedArrayInit.EpochFlipRestartsAndRewritesPublishedBlock	0
SegmentedArrayInit.EpochFlipRestartsAndRewritesPublishedBlockParallel	0
SegmentedArrayInit.YoungGcRepairsIncompleteArrayRoot	0
SegmentedArrayInit.YoungGcRepairsIncompleteArrayRootParallel	0
SegmentedArrayInit.YoungGcResidualWatermarkUsesManagedFallback	0
